cve,funcname,succeed,false_positive,false_negative,failed_versions,too_much_diff,cant_tell,no_diff,func_not_found,targets
CVE-2019-1563,CMS_decrypt,6,,,,,,,,6
CVE-2019-1563,cms_RecipientInfo_ktri_decrypt,6,,,,,,,,6
CVE-2019-1563,pkcs7_encode_rinfo,3,,OpenSSL_1_0_2u;OpenSSL_1_1_1e;OpenSSL_1_1_1f,,,,OpenSSL_1_1_0k;OpenSSL_1_1_1c;OpenSSL_1_0_2s;OpenSSL_1_0_2u;OpenSSL_1_1_1e;OpenSSL_1_1_1f,,6
CVE-2019-1563,PKCS7_dataDecode,4,,,,OpenSSL_1_0_2s;OpenSSL_1_0_2u,,,,6
CVE-2020-1967,tls1_check_sig_alg,6,,,,,,,,6
CVE-2021-23840,evp_EncryptDecryptUpdate,6,,,,,,,,6
CVE-2021-23840,EVP_DecryptUpdate,6,,,,,,,,6
CVE-2021-4044,tls_post_process_server_certificate,1,,,,,,,OpenSSL_1_0_1u;OpenSSL_1_0_1t;OpenSSL_1_1_1n,4
CVE-2021-4044,ssl_verify_cert_chain,5,,,,,,,,5
CVE-2021-4044,ssl_cert_set_cert_cb,1,,,,,,openssl-3.0.0;OpenSSL_1_1_1n;openssl-3.0.2;openssl-3.0.3,OpenSSL_1_0_1u;OpenSSL_1_0_1t,3
CVE-2022-1473,OPENSSL_LH_flush,5,,,,,,,OpenSSL_1_1_1o,6
CVE-2022-1343,ocsp_verify_signer,5,,,,,,,OpenSSL_1_1_1p,6
CVE-2022-2274,ossl_rsaz_mod_exp_avx512_x2,2,,,,,,,OpenSSL_1_1_1q;OpenSSL_1_1_1r,4
CVE-2022-3358,evp_md_init_internal,5,,,,,,,OpenSSL_1_1_1r,6
CVE-2022-3358,evp_cipher_init_internal,0,,,,openssl-3.0.5;openssl-3.0.4;openssl-3.0.3;openssl-3.0.6;openssl-3.0.7,,,OpenSSL_1_1_1r,6
CVE-2022-3602,ossl_punycode_decode,6,,,,,,,,6
CVE-2022-3786,ossl_punycode_decode,3,,openssl-3.1.0-alpha1;openssl-3.1.0-beta1;openssl-3.0.8,,,,openssl-3.0.6;openssl-3.0.5;openssl-3.0.4;openssl-3.1.0-alpha1;openssl-3.1.0-beta1;openssl-3.0.8,,6
CVE-2022-3786,ossl_a2ulabel,6,,,,,,,,6
CVE-2022-3996,ossl_policy_cache_set_mapping,5,,,,,,,OpenSSL_1_1_1t,6
CVE-2022-4203,nc_match,5,,,,,,,,5
CVE-2022-4203,do_i2r_name_constraints,3,,openssl-3.0.8;openssl-3.1.0,,,,openssl-3.0.7;openssl-3.0.6;openssl-3.0.5;openssl-3.0.8;OpenSSL_1_1_1t;openssl-3.1.0,,5
CVE-2023-0215,ndef_suffix,3,,,,,OpenSSL_1_1_1s;OpenSSL_1_1_1r;OpenSSL_1_1_1t,,,6
CVE-2023-0215,BIO_new_NDEF,6,,,,,,,,6
CVE-2023-0216,ossl_pkcs7_resolve_libctx,5,,,,,,,OpenSSL_1_1_1t,6
CVE-2023-0216,pkcs7_get_signer_certs,5,,,,,,,OpenSSL_1_1_1t,6
CVE-2023-0216,PKCS7_add_signature,3,,openssl-3.0.8;OpenSSL_1_1_1t;openssl-3.1.0,,,,openssl-3.0.7;openssl-3.0.6;openssl-3.0.5;openssl-3.0.8;OpenSSL_1_1_1t;openssl-3.1.0,,6
CVE-2023-0401,PKCS7_dataDecode,1,,,,openssl-3.0.7;openssl-3.0.6;openssl-3.0.5;OpenSSL_1_1_1t;openssl-3.1.0,,,,6
CVE-2023-0401,pkcs7_bio_add_digest,5,,,,,,,OpenSSL_1_1_1t,6
CVE-2023-2650,OBJ_obj2txt,2,,openssl-3.0.9;openssl-3.1.1,,,,openssl-3.1.0;openssl-3.0.8;openssl-3.0.9;openssl-3.1.1,OpenSSL_1_1_1t;OpenSSL_1_1_1u,6
CVE-2023-2975,siv_cipher,5,,,,,,,OpenSSL_1_1_1v,6
CVE-2023-5363,evp_cipher_init_internal,0,,,,openssl-3.1.3;openssl-3.0.11;openssl-3.0.10;openssl-3.2.0-beta1;openssl-3.2.0;openssl-3.0.13;openssl-3.1.3;openssl-3.0.11;openssl-3.0.10;openssl-3.2.0-beta1;openssl-3.2.0;openssl-3.0.13,,,,12
CVE-2023-5678,DH_check_pub_key_ex,1,,,,,openssl-3.1.4;openssl-3.1.3;openssl-3.2.0;openssl-3.1.5;openssl-3.2.1,,,6
CVE-2023-5678,generate_key,6,,,,,,,,6
CVE-2023-5678,ossl_dh_compute_key,6,,,,,,,,6
CVE-2024-0727,newpass_p12,6,,,,,,,,6
CVE-2024-0727,SMIME_write_PKCS7,6,,,,,,,,6
CVE-2024-0727,pkcs12_gen_mac,6,,,,,,,,6
CVE-2024-0727,PKCS12_unpack_p7encdata,6,,,,,,,,6
CVE-2024-0727,PKCS12_unpack_authsafes,2,,,,,openssl-3.0.12;openssl-3.1.4;openssl-3.1.5;openssl-3.0.13,,,6
